remedy,symptoms,disease,potency,source
Sulphur,chronic eruptions; pigmentation; hormonal acne; dull skin; rash,skin,Q,synthetic materia medica
Apis Mellifica,chronic eruptions; itching; vesicular eruptions; swelling,general,200C,synthetic materia medica
Calcarea Sulph,facial eruptions; pigmentation; redness; pus formation; acne; cracked skin,hormonal,200C,synthetic materia medica
Mercurius Solubilis,pimples; sensitive skin; chronic eruptions; dry skin; vesicular eruptions,skin,6X,synthetic materia medica
Apis Mellifica,pigmentation; redness; cracked skin; hormonal acne; chronic eruptions,acute inflammation,6X,synthetic materia medica
Natrum Muriaticum,burning; pigmentation; swelling; vesicular eruptions; chronic eruptions,general,6X,synthetic materia medica
Rhus Toxicodendron,cracked skin; swelling; chronic eruptions; pimples,general,30C,synthetic materia medica
Silicea,oily skin; chronic eruptions; burning; hormonal acne,hormonal,6X,synthetic materia medica
Rhus Toxicodendron,itching; pigmentation; chronic eruptions,hormonal,6X,synthetic materia medica
Antimonium Crudum,acne; dull skin; vesicular eruptions; redness; hormonal acne; pimples,acute inflammation,200C,synthetic materia medica
Calcarea Sulph,hormonal acne; dry skin; chronic eruptions; redness; eczema,allergy,Q,synthetic materia medica
Graphites,redness; rash; acne; pimples; chronic eruptions; itching,allergy,6X,synthetic materia medica
Mercurius Solubilis,oily skin; cracked skin; pus formation; pigmentation,skin,Q,synthetic materia medica
Arsenicum Album,eczema; allergic rash; sensitive skin; swelling,skin,30C,synthetic materia medica
Arsenicum Album,eczema; facial eruptions; dry skin; dull skin,chronic,30C,synthetic materia medica
Rhus Toxicodendron,redness; acne; rash; burning; pigmentation; swelling,hormonal,6X,synthetic materia medica
Nux Vomica,oily skin; dull skin; cracked skin; acne; burning,allergy,30C,synthetic materia medica
Pulsatilla,pigmentation; dull skin; oily skin; vesicular eruptions,skin,6X,synthetic materia medica
Graphites,allergic rash; acne; oily skin,skin,30C,synthetic materia medica
Sepia,swelling; allergic rash; pigmentation,skin,30C,synthetic materia medica
Lycopodium,eczema; sensitive skin; dry skin; vesicular eruptions; chronic eruptions,allergy,6X,synthetic materia medica
Calcarea Sulph,sensitive skin; rash; chronic eruptions,acute inflammation,30C,synthetic materia medica
Sulphur,itching; hormonal acne; cracked skin; rash; redness,allergy,Q,synthetic materia medica
Apis Mellifica,cracked skin; chronic eruptions; pimples; swelling,allergy,30C,synthetic materia medica
Natrum Muriaticum,acne; pus formation; sensitive skin,chronic,200C,synthetic materia medica
Hepar Sulph,sensitive skin; rash; redness; chronic eruptions; vesicular eruptions; pigmentation,acute inflammation,Q,synthetic materia medica
Apis Mellifica,rash; cracked skin; pigmentation; oily skin; eczema; facial eruptions,acute inflammation,30C,synthetic materia medica
Sepia,pus formation; facial eruptions; pigmentation; hormonal acne; redness,skin,30C,synthetic materia medica
Belladonna,acne; allergic rash; pigmentation,chronic,30C,synthetic materia medica
Sulphur,oily skin; dry skin; burning; vesicular eruptions; pus formation; itching,chronic,30C,synthetic materia medica
Thuja Occidentalis,dull skin; rash; cracked skin; itching,general,30C,synthetic materia medica
Graphites,chronic eruptions; eczema; vesicular eruptions,acute inflammation,30C,synthetic materia medica
Belladonna,dull skin; rash; itching; facial eruptions,acute inflammation,6X,synthetic materia medica
Kali Bromatum,dry skin; rash; itching; cracked skin; swelling,general,30C,synthetic materia medica
Lycopodium,dry skin; pigmentation; facial eruptions,acute inflammation,200C,synthetic materia medica
Nux Vomica,vesicular eruptions; chronic eruptions; pigmentation; burning,general,Q,synthetic materia medica
Silicea,chronic eruptions; swelling; acne; burning; pus formation; facial eruptions,skin,200C,synthetic materia medica
Hepar Sulph,chronic eruptions; sensitive skin; dry skin; eczema; pus formation,general,30C,synthetic materia medica
Calcarea Sulph,swelling; itching; rash; redness,allergy,Q,synthetic materia medica
Belladonna,rash; cracked skin; allergic rash; eczema; pimples; hormonal acne,hormonal,Q,synthetic materia medica
Apis Mellifica,eczema; pimples; sensitive skin,skin,200C,synthetic materia medica
Mercurius Solubilis,dry skin; burning; itching; pus formation; eczema; pigmentation,acute inflammation,200C,synthetic materia medica
Antimonium Crudum,burning; facial eruptions; dull skin; pus formation; pigmentation; chronic eruptions,general,6X,synthetic materia medica
Sulphur,acne; vesicular eruptions; pimples; hormonal acne,general,200C,synthetic materia medica
Apis Mellifica,allergic rash; vesicular eruptions; acne; cracked skin; pus formation,general,6X,synthetic materia medica
Thuja Occidentalis,acne; cracked skin; eczema; pigmentation; pus formation; hormonal acne,skin,Q,synthetic materia medica
Sulphur,pus formation; pimples; facial eruptions; chronic eruptions,hormonal,Q,synthetic materia medica
Pulsatilla,burning; hormonal acne; oily skin,general,Q,synthetic materia medica
Arsenicum Album,eczema; cracked skin; acne,general,6X,synthetic materia medica
Apis Mellifica,hormonal acne; eczema; burning,chronic,30C,synthetic materia medica
Hepar Sulph,swelling; pimples; pigmentation; hormonal acne,allergy,6X,synthetic materia medica
Arsenicum Album,allergic rash; redness; acne; swelling,allergy,200C,synthetic materia medica
Thuja Occidentalis,burning; redness; dull skin; cracked skin; vesicular eruptions,skin,30C,synthetic materia medica
Nux Vomica,itching; allergic rash; dull skin; pigmentation; pimples,acute inflammation,6X,synthetic materia medica
Kali Bromatum,hormonal acne; pigmentation; sensitive skin,acute inflammation,6X,synthetic materia medica
Pulsatilla,rash; oily skin; allergic rash,hormonal,Q,synthetic materia medica
Pulsatilla,cracked skin; redness; dry skin; pus formation,general,6X,synthetic materia medica
Arsenicum Album,hormonal acne; rash; oily skin; dull skin; swelling; redness,skin,6X,synthetic materia medica
Antimonium Crudum,chronic eruptions; redness; swelling; sensitive skin; rash,acute inflammation,6X,synthetic materia medica
Pulsatilla,pimples; rash; acne,hormonal,30C,synthetic materia medica
Berberis Aquifolium,dry skin; dull skin; pigmentation; redness; cracked skin; pimples,general,Q,synthetic materia medica
Calcarea Sulph,dry skin; facial eruptions; rash; acne; swelling; cracked skin,acute inflammation,30C,synthetic materia medica
Hepar Sulph,oily skin; rash; dull skin; dry skin; pigmentation; pus formation,allergy,30C,synthetic materia medica
Natrum Muriaticum,pimples; swelling; hormonal acne,hormonal,30C,synthetic materia medica
Arsenicum Album,sensitive skin; swelling; rash; cracked skin; pimples,hormonal,30C,synthetic materia medica
Calcarea Sulph,itching; chronic eruptions; hormonal acne; acne; facial eruptions,acute inflammation,200C,synthetic materia medica
Rhus Toxicodendron,acne; allergic rash; rash; itching,allergy,6X,synthetic materia medica
Sepia,eczema; redness; dull skin; itching; acne; pus formation,acute inflammation,6X,synthetic materia medica
Silicea,allergic rash; pus formation; cracked skin; burning; redness,chronic,200C,synthetic materia medica
Natrum Muriaticum,acne; redness; cracked skin,hormonal,200C,synthetic materia medica
Pulsatilla,hormonal acne; redness; pigmentation; acne,allergy,200C,synthetic materia medica
Belladonna,swelling; redness; facial eruptions; burning,general,200C,synthetic materia medica
Arsenicum Album,rash; oily skin; facial eruptions; dry skin,hormonal,Q,synthetic materia medica
Natrum Muriaticum,vesicular eruptions; sensitive skin; hormonal acne,skin,30C,synthetic materia medica
Arsenicum Album,hormonal acne; burning; facial eruptions; cracked skin; allergic rash,general,30C,synthetic materia medica
Sepia,swelling; cracked skin; hormonal acne; burning,acute inflammation,30C,synthetic materia medica
Berberis Aquifolium,chronic eruptions; vesicular eruptions; dry skin; eczema,hormonal,200C,synthetic materia medica
Antimonium Crudum,swelling; dull skin; oily skin,general,Q,synthetic materia medica
Calcarea Sulph,oily skin; pigmentation; hormonal acne,hormonal,Q,synthetic materia medica
Bryonia,rash; redness; vesicular eruptions; pus formation,allergy,Q,synthetic materia medica
Mercurius Solubilis,chronic eruptions; hormonal acne; oily skin,acute inflammation,30C,synthetic materia medica
Bryonia,eczema; sensitive skin; allergic rash; oily skin; itching,chronic,30C,synthetic materia medica
Hepar Sulph,pigmentation; vesicular eruptions; oily skin; burning,acute inflammation,200C,synthetic materia medica
Calcarea Sulph,acne; burning; redness; eczema; rash; vesicular eruptions,general,200C,synthetic materia medica
Mercurius Solubilis,swelling; rash; itching,acute inflammation,6X,synthetic materia medica
Thuja Occidentalis,burning; redness; pigmentation; cracked skin,chronic,30C,synthetic materia medica
Pulsatilla,oily skin; eczema; acne; cracked skin,general,Q,synthetic materia medica
Bryonia,facial eruptions; itching; swelling; sensitive skin,hormonal,Q,synthetic materia medica
Berberis Aquifolium,rash; facial eruptions; sensitive skin; swelling; burning,skin,200C,synthetic materia medica
Sulphur,swelling; dry skin; cracked skin; dull skin; allergic rash; vesicular eruptions,hormonal,Q,synthetic materia medica
Bryonia,oily skin; itching; cracked skin,skin,200C,synthetic materia medica
Graphites,pimples; dull skin; eczema; cracked skin; chronic eruptions; facial eruptions,skin,6X,synthetic materia medica
Nux Vomica,hormonal acne; eczema; itching; vesicular eruptions,hormonal,200C,synthetic materia medica
Berberis Aquifolium,swelling; eczema; rash,general,30C,synthetic materia medica
Pulsatilla,vesicular eruptions; dry skin; eczema; allergic rash; hormonal acne,skin,200C,synthetic materia medica
Berberis Aquifolium,sensitive skin; itching; burning; acne; swelling,skin,200C,synthetic materia medica
Lycopodium,chronic eruptions; pus formation; dull skin,skin,200C,synthetic materia medica
Belladonna,cracked skin; pimples; oily skin,general,30C,synthetic materia medica
Natrum Muriaticum,burning; dry skin; swelling,allergy,200C,synthetic materia medica
Bryonia,hormonal acne; oily skin; pimples; pigmentation; sensitive skin,skin,200C,synthetic materia medica
Apis Mellifica,burning; hormonal acne; acne; facial eruptions; rash,general,30C,synthetic materia medica
Bryonia,rash; facial eruptions; eczema,general,Q,synthetic materia medica
Natrum Muriaticum,dull skin; vesicular eruptions; cracked skin; redness; swelling,allergy,6X,synthetic materia medica
Sepia,pus formation; itching; chronic eruptions; eczema,allergy,Q,synthetic materia medica
Thuja Occidentalis,pimples; sensitive skin; pus formation; acne,chronic,Q,synthetic materia medica
Lycopodium,dull skin; hormonal acne; pimples; acne; facial eruptions,chronic,200C,synthetic materia medica
Natrum Muriaticum,burning; pigmentation; dry skin; hormonal acne; redness; swelling,acute inflammation,6X,synthetic materia medica
Nux Vomica,eczema; redness; dull skin; pigmentation,hormonal,200C,synthetic materia medica
Belladonna,itching; rash; burning; cracked skin; dry skin; pigmentation,hormonal,Q,synthetic materia medica
Thuja Occidentalis,acne; dull skin; facial eruptions; cracked skin; rash,acute inflammation,200C,synthetic materia medica
Apis Mellifica,cracked skin; oily skin; pigmentation; sensitive skin; rash,general,6X,synthetic materia medica
Apis Mellifica,cracked skin; eczema; swelling; itching; acne; chronic eruptions,acute inflammation,Q,synthetic materia medica
Bryonia,oily skin; burning; pigmentation; dull skin; redness,chronic,200C,synthetic materia medica
Antimonium Crudum,dull skin; sensitive skin; acne; cracked skin,chronic,200C,synthetic materia medica
Calcarea Sulph,swelling; acne; vesicular eruptions; pigmentation; chronic eruptions; redness,acute inflammation,Q,synthetic materia medica
Graphites,vesicular eruptions; acne; dry skin; eczema,hormonal,6X,synthetic materia medica
Silicea,chronic eruptions; cracked skin; redness; itching,general,Q,synthetic materia medica
Berberis Aquifolium,oily skin; sensitive skin; facial eruptions; allergic rash,acute inflammation,6X,synthetic materia medica
Nux Vomica,acne; swelling; itching; cracked skin,general,30C,synthetic materia medica
Pulsatilla,burning; pigmentation; redness; dry skin; eczema,chronic,Q,synthetic materia medica
Graphites,hormonal acne; facial eruptions; pigmentation; rash; swelling,general,30C,synthetic materia medica
Natrum Muriaticum,dull skin; swelling; hormonal acne,skin,6X,synthetic materia medica
Thuja Occidentalis,vesicular eruptions; pus formation; dry skin,allergy,200C,synthetic materia medica
Natrum Muriaticum,sensitive skin; facial eruptions; dull skin; chronic eruptions; oily skin; pus formation,chronic,30C,synthetic materia medica
Mercurius Solubilis,swelling; chronic eruptions; acne; vesicular eruptions; burning; redness,skin,30C,synthetic materia medica
Silicea,pimples; itching; oily skin,allergy,Q,synthetic materia medica
Silicea,pus formation; swelling; hormonal acne; pigmentation,skin,200C,synthetic materia medica
Silicea,oily skin; facial eruptions; pus formation; dull skin,hormonal,6X,synthetic materia medica
Sepia,eczema; pigmentation; pimples; allergic rash; rash; facial eruptions,acute inflammation,Q,synthetic materia medica
Kali Bromatum,pus formation; oily skin; hormonal acne; swelling; sensitive skin,acute inflammation,200C,synthetic materia medica
Rhus Toxicodendron,pimples; sensitive skin; rash; eczema,general,Q,synthetic materia medica
Mercurius Solubilis,sensitive skin; eczema; hormonal acne; oily skin,hormonal,Q,synthetic materia medica
Silicea,swelling; burning; dry skin,hormonal,200C,synthetic materia medica
Mercurius Solubilis,pus formation; chronic eruptions; itching; cracked skin; swelling,hormonal,30C,synthetic materia medica
Sepia,dull skin; dry skin; cracked skin; burning,general,30C,synthetic materia medica
Rhus Toxicodendron,redness; hormonal acne; facial eruptions; dry skin; rash; eczema,acute inflammation,30C,synthetic materia medica
Hepar Sulph,sensitive skin; facial eruptions; pimples,general,6X,synthetic materia medica
Lycopodium,pus formation; chronic eruptions; burning; pigmentation,hormonal,30C,synthetic materia medica
Apis Mellifica,pimples; rash; facial eruptions; oily skin; pus formation,hormonal,200C,synthetic materia medica
Graphites,oily skin; acne; dry skin; chronic eruptions; sensitive skin,skin,30C,synthetic materia medica
Bryonia,sensitive skin; itching; dull skin; swelling; pigmentation; chronic eruptions,hormonal,6X,synthetic materia medica
Lycopodium,facial eruptions; sensitive skin; pigmentation; itching; pimples; allergic rash,hormonal,Q,synthetic materia medica
Mercurius Solubilis,sensitive skin; oily skin; facial eruptions,hormonal,6X,synthetic materia medica
Hepar Sulph,cracked skin; sensitive skin; oily skin,hormonal,30C,synthetic materia medica
Bryonia,chronic eruptions; oily skin; redness; allergic rash,skin,200C,synthetic materia medica
Mercurius Solubilis,cracked skin; facial eruptions; eczema; dry skin; swelling,skin,Q,synthetic materia medica
Graphites,sensitive skin; facial eruptions; pigmentation; cracked skin; hormonal acne,allergy,200C,synthetic materia medica
Bryonia,swelling; pigmentation; oily skin,allergy,6X,synthetic materia medica
Antimonium Crudum,burning; facial eruptions; oily skin; chronic eruptions; pigmentation; dry skin,skin,Q,synthetic materia medica
Calcarea Sulph,pus formation; hormonal acne; oily skin; redness,hormonal,30C,synthetic materia medica
Bryonia,sensitive skin; allergic rash; pimples,general,Q,synthetic materia medica
Berberis Aquifolium,itching; swelling; allergic rash,general,30C,synthetic materia medica
Arsenicum Album,rash; cracked skin; hormonal acne; pus formation,chronic,Q,synthetic materia medica
Mercurius Solubilis,pigmentation; hormonal acne; vesicular eruptions,general,Q,synthetic materia medica
Calcarea Sulph,pigmentation; pimples; swelling,hormonal,Q,synthetic materia medica
Mercurius Solubilis,vesicular eruptions; cracked skin; burning; itching; facial eruptions; pigmentation,hormonal,Q,synthetic materia medica
Silicea,dry skin; burning; allergic rash; itching,chronic,30C,synthetic materia medica
Pulsatilla,rash; eczema; pigmentation; pus formation; redness; cracked skin,skin,30C,synthetic materia medica
Lycopodium,pus formation; hormonal acne; dry skin; eczema; rash,general,30C,synthetic materia medica
Belladonna,allergic rash; sensitive skin; pus formation; facial eruptions; eczema,skin,Q,synthetic materia medica
Arsenicum Album,pus formation; chronic eruptions; eczema; hormonal acne,chronic,200C,synthetic materia medica
Thuja Occidentalis,oily skin; vesicular eruptions; itching; rash; pigmentation,chronic,200C,synthetic materia medica
Pulsatilla,cracked skin; redness; vesicular eruptions; pimples; allergic rash; rash,chronic,200C,synthetic materia medica
Thuja Occidentalis,vesicular eruptions; pimples; facial eruptions; pigmentation; itching,general,6X,synthetic materia medica
Pulsatilla,burning; pus formation; oily skin; vesicular eruptions; swelling; redness,acute inflammation,200C,synthetic materia medica
Arsenicum Album,hormonal acne; redness; allergic rash; rash; chronic eruptions,acute inflammation,Q,synthetic materia medica
Apis Mellifica,rash; hormonal acne; facial eruptions; pimples,allergy,6X,synthetic materia medica
Kali Bromatum,cracked skin; allergic rash; vesicular eruptions,chronic,6X,synthetic materia medica
Pulsatilla,pus formation; hormonal acne; burning; dry skin,skin,6X,synthetic materia medica
Pulsatilla,dull skin; swelling; oily skin; rash,chronic,6X,synthetic materia medica
Sulphur,rash; dull skin; redness; swelling,acute inflammation,Q,synthetic materia medica
Pulsatilla,rash; dull skin; allergic rash; swelling; burning,acute inflammation,Q,synthetic materia medica
Hepar Sulph,pimples; burning; hormonal acne; acne; oily skin; allergic rash,skin,Q,synthetic materia medica
Apis Mellifica,acne; hormonal acne; allergic rash; vesicular eruptions; facial eruptions,chronic,30C,synthetic materia medica
Antimonium Crudum,pus formation; cracked skin; pigmentation; burning; sensitive skin,general,Q,synthetic materia medica
Kali Bromatum,dry skin; redness; swelling; pimples; facial eruptions,hormonal,30C,synthetic materia medica
Lycopodium,cracked skin; pus formation; dull skin,hormonal,6X,synthetic materia medica
Sulphur,allergic rash; pimples; pus formation; oily skin; dry skin,allergy,200C,synthetic materia medica
Pulsatilla,facial eruptions; chronic eruptions; rash; swelling; pimples,chronic,200C,synthetic materia medica
Sulphur,swelling; vesicular eruptions; burning; acne; facial eruptions,chronic,30C,synthetic materia medica
Graphites,vesicular eruptions; swelling; acne,chronic,200C,synthetic materia medica
Graphites,dry skin; rash; pimples; facial eruptions,acute inflammation,6X,synthetic materia medica
Lycopodium,oily skin; eczema; swelling; pimples; allergic rash,chronic,30C,synthetic materia medica
Mercurius Solubilis,vesicular eruptions; allergic rash; dull skin,allergy,30C,synthetic materia medica
Nux Vomica,facial eruptions; rash; chronic eruptions; redness; acne,skin,200C,synthetic materia medica
Mercurius Solubilis,facial eruptions; pus formation; eczema; hormonal acne; dull skin; itching,acute inflammation,Q,synthetic materia medica
Sepia,hormonal acne; redness; vesicular eruptions,general,6X,synthetic materia medica
Natrum Muriaticum,redness; pus formation; eczema; allergic rash; facial eruptions; sensitive skin,skin,30C,synthetic materia medica
Silicea,swelling; acne; burning; facial eruptions; hormonal acne,allergy,Q,synthetic materia medica
Natrum Muriaticum,dry skin; burning; rash; pimples; pigmentation,skin,30C,synthetic materia medica
Sepia,dull skin; burning; swelling,skin,30C,synthetic materia medica
Hepar Sulph,rash; sensitive skin; itching; eczema; pigmentation; pimples,acute inflammation,200C,synthetic materia medica
Berberis Aquifolium,allergic rash; redness; dry skin; facial eruptions; pimples; eczema,hormonal,200C,synthetic materia medica
Arsenicum Album,acne; itching; dull skin; pimples,allergy,6X,synthetic materia medica
Natrum Muriaticum,sensitive skin; rash; cracked skin; pus formation,acute inflammation,6X,synthetic materia medica
Natrum Muriaticum,dull skin; rash; burning; allergic rash; oily skin; acne,skin,200C,synthetic materia medica
Graphites,pimples; pus formation; oily skin,skin,200C,synthetic materia medica
Sepia,cracked skin; facial eruptions; pigmentation,skin,200C,synthetic materia medica
Lycopodium,chronic eruptions; pimples; rash; itching; allergic rash,acute inflammation,Q,synthetic materia medica
Kali Bromatum,facial eruptions; redness; itching; chronic eruptions,chronic,6X,synthetic materia medica
Lycopodium,dry skin; pus formation; burning; allergic rash,allergy,200C,synthetic materia medica
Antimonium Crudum,swelling; pimples; hormonal acne,acute inflammation,6X,synthetic materia medica
Rhus Toxicodendron,pus formation; facial eruptions; pigmentation,chronic,6X,synthetic materia medica
Lycopodium,itching; allergic rash; sensitive skin,chronic,6X,synthetic materia medica
Pulsatilla,redness; cracked skin; facial eruptions,hormonal,6X,synthetic materia medica
Apis Mellifica,dry skin; rash; acne; cracked skin; pigmentation; eczema,acute inflammation,200C,synthetic materia medica
Natrum Muriaticum,pus formation; dry skin; oily skin; sensitive skin; burning,general,6X,synthetic materia medica
Belladonna,pimples; cracked skin; swelling; chronic eruptions,allergy,200C,synthetic materia medica
Hepar Sulph,acne; dull skin; itching; vesicular eruptions,chronic,30C,synthetic materia medica
Kali Bromatum,oily skin; vesicular eruptions; pus formation; itching; eczema; facial eruptions,chronic,Q,synthetic materia medica
Kali Bromatum,acne; pimples; facial eruptions; dull skin,allergy,200C,synthetic materia medica
Mercurius Solubilis,vesicular eruptions; pus formation; pigmentation; swelling; chronic eruptions; acne,general,30C,synthetic materia medica
Rhus Toxicodendron,allergic rash; chronic eruptions; itching; facial eruptions; pimples; eczema,skin,200C,synthetic materia medica
Kali Bromatum,sensitive skin; rash; acne,general,200C,synthetic materia medica
Apis Mellifica,dry skin; swelling; itching,hormonal,Q,synthetic materia medica
Mercurius Solubilis,facial eruptions; burning; chronic eruptions; eczema; hormonal acne; oily skin,chronic,Q,synthetic materia medica
Lycopodium,cracked skin; oily skin; sensitive skin; vesicular eruptions; allergic rash,allergy,30C,synthetic materia medica
Berberis Aquifolium,chronic eruptions; eczema; itching; acne,skin,30C,synthetic materia medica
Arsenicum Album,redness; chronic eruptions; itching; allergic rash; swelling; facial eruptions,general,6X,synthetic materia medica
Mercurius Solubilis,redness; oily skin; pigmentation; hormonal acne,acute inflammation,6X,synthetic materia medica
Sulphur,rash; swelling; sensitive skin,general,6X,synthetic materia medica
Silicea,acne; chronic eruptions; dull skin; burning; pus formation; pigmentation,general,6X,synthetic materia medica
Rhus Toxicodendron,swelling; dull skin; eczema; sensitive skin; burning,chronic,6X,synthetic materia medica
Sepia,cracked skin; pigmentation; vesicular eruptions; facial eruptions; redness,acute inflammation,200C,synthetic materia medica
Nux Vomica,chronic eruptions; dry skin; swelling,acute inflammation,30C,synthetic materia medica
Antimonium Crudum,hormonal acne; sensitive skin; pimples,skin,6X,synthetic materia medica
Pulsatilla,chronic eruptions; pimples; allergic rash; swelling,hormonal,30C,synthetic materia medica
Kali Bromatum,itching; hormonal acne; pus formation; acne; vesicular eruptions; facial eruptions,skin,Q,synthetic materia medica
Thuja Occidentalis,pimples; swelling; allergic rash; itching; cracked skin; sensitive skin,allergy,30C,synthetic materia medica
Berberis Aquifolium,redness; burning; swelling; pimples,chronic,30C,synthetic materia medica
Apis Mellifica,allergic rash; pus formation; cracked skin; dry skin,acute inflammation,200C,synthetic materia medica
Calcarea Sulph,allergic rash; eczema; rash; burning,skin,6X,synthetic materia medica
Apis Mellifica,pimples; burning; chronic eruptions; oily skin; rash,allergy,30C,synthetic materia medica
Kali Bromatum,vesicular eruptions; dull skin; eczema; chronic eruptions,skin,30C,synthetic materia medica
Apis Mellifica,sensitive skin; hormonal acne; itching; dull skin; vesicular eruptions; allergic rash,skin,6X,synthetic materia medica
Berberis Aquifolium,vesicular eruptions; allergic rash; redness; rash; itching; burning,hormonal,6X,synthetic materia medica
Thuja Occidentalis,dry skin; pimples; facial eruptions,allergy,200C,synthetic materia medica
Sepia,sensitive skin; cracked skin; vesicular eruptions,general,30C,synthetic materia medica
Calcarea Sulph,allergic rash; burning; itching; dry skin,hormonal,6X,synthetic materia medica
Kali Bromatum,redness; pimples; cracked skin; swelling,chronic,Q,synthetic materia medica
Berberis Aquifolium,itching; facial eruptions; chronic eruptions; eczema,hormonal,6X,synthetic materia medica
Graphites,allergic rash; eczema; vesicular eruptions; swelling,allergy,Q,synthetic materia medica
Nux Vomica,cracked skin; pus formation; acne,allergy,200C,synthetic materia medica
Thuja Occidentalis,burning; sensitive skin; pus formation,skin,6X,synthetic materia medica
Sulphur,hormonal acne; redness; itching; chronic eruptions,hormonal,6X,synthetic materia medica
Pulsatilla,dull skin; pus formation; dry skin; swelling; hormonal acne,hormonal,6X,synthetic materia medica
Thuja Occidentalis,eczema; itching; swelling; cracked skin; pigmentation; chronic eruptions,chronic,200C,synthetic materia medica
Sepia,eczema; pigmentation; dull skin,skin,6X,synthetic materia medica
Thuja Occidentalis,cracked skin; chronic eruptions; redness; vesicular eruptions,general,200C,synthetic materia medica
Lycopodium,swelling; vesicular eruptions; eczema; dry skin; burning; pimples,acute inflammation,30C,synthetic materia medica
Antimonium Crudum,allergic rash; oily skin; facial eruptions,acute inflammation,6X,synthetic materia medica
Sepia,dull skin; chronic eruptions; oily skin; allergic rash,general,30C,synthetic materia medica
